person_id,county,FIPS,treatment,total_duration_in_sec,Q1_answer_code,Q1_answer_text
15672957,El Paso County,8041,0,88,4,Somewhat worse off
15673409,Eagle County,8037,1,74,2,Somewhat better off
15689250,Denver County,8031,0,116,3,Neither better nor worse off
15699674,Denver County,8031,0,31,null,
15700204,Denver County,8031,1,207,5,Definitely worse off
15705521,El Paso County,8041,1,45,5,Definitely worse off
15707196,Ouray County,8091,0,66,1,Definitely better off
15709352,Larimer County,8069,0,70,1,Definitely better off
15713957,Denver County,8031,1,182,3,Neither better nor worse off
15734656,Boulder County,8013,1,12,null,
15740299,Chaffee County,8015,1,106,1,Definitely better off
15744395,Adams County,8001,1,17,null,
15745651,Morgan County,8087,1,12,null,
15746131,Pitkin County,8097,1,56,4,Somewhat worse off
15747550,Huerfano County,8055,1,104,5,Definitely worse off
15749186,Mesa County,8077,1,107,3,Neither better nor worse off
15751632,Denver County,8031,1,13,null,
15757135,Weld County,8123,0,69,1,Definitely better off
15799722,Denver County,8031,0,9,null,
15804617,Denver County,8031,0,58,4,Somewhat worse off
15815314,Boulder County,8013,0,2,null,
15823434,Morgan County,8087,1,6,null,
15825757,Denver County,8031,1,76,1,Definitely better off
15838491,Denver County,8031,1,38,2,Somewhat better off
15841128,Gunnison County,8051,1,22,null,
15843925,El Paso County,8041,0,142,4,Somewhat worse off
15847006,Adams County,8001,1,5,null,
15849811,Weld County,8123,1,11,null,
15851091,Mesa County,8077,1,14,null,
15852923,Mesa County,8077,0,10,null,
15853988,Routt County,8107,1,81,3,Neither better nor worse off
15862010,Adams County,8001,1,60,2,Somewhat better off
15865014,Adams County,8001,0,55,5,Definitely worse off
15876075,Weld County,8123,1,92,3,Neither better nor worse off
15878444,Larimer County,8069,0,79,1,Definitely better off
15881033,Jefferson County,8059,0,102,1,Definitely better off
15881618,Denver County,8031,0,5,null,
15900202,Denver County,8031,0,43,4,Somewhat worse off
15906866,Denver County,8031,0,47,5,Definitely worse off
15911631,Denver County,8031,1,95,4,Somewhat worse off
15959782,Boulder County,8013,0,12,null,
15970374,Mesa County,8077,0,58,4,Somewhat worse off
15971366,Gunnison County,8051,0,212,1,Definitely better off
15977068,Eagle County,8037,0,153,3,Neither better nor worse off
15987798,Mesa County,8077,1,52,2,Somewhat better off
15988272,Conejos County,8021,0,7,null,
15990127,El Paso County,8041,1,58,5,Definitely worse off
15995620,La Plata County,8067,1,83,5,Definitely worse off
16010566,Denver County,8031,0,19,null,
16012298,El Paso County,8041,0,58,5,Definitely worse off
16015550,El Paso County,8041,0,61,5,Definitely worse off
16015644,Weld County,8123,0,68,5,Definitely worse off
16023248,Weld County,8123,0,72,1,Definitely better off
16025466,Weld County,8123,1,74,4,Somewhat worse off
16026506,Delta County,8029,0,535,3,Neither better nor worse off
16035595,El Paso County,8041,0,77,2,Somewhat better off
16042968,El Paso County,8041,0,5,null,
16045642,El Paso County,8041,0,57,4,Somewhat worse off
16050981,Mesa County,8077,0,231,1,Definitely better off
16054520,Weld County,8123,0,112,1,Definitely better off
16056016,El Paso County,8041,0,102,1,Definitely better off
16072437,Boulder County,8013,0,150,5,Definitely worse off
16089912,El Paso County,8041,0,76,5,Definitely worse off
16114594,Denver County,8031,1,51,4,Somewhat worse off
16122942,Denver County,8031,1,163,1,Definitely better off
16131706,Denver County,8031,1,7,null,
16140755,Weld County,8123,1,15,null,
16143546,Boulder County,8013,0,109,5,Definitely worse off
16144741,El Paso County,8041,0,34,5,Definitely worse off
16165449,Adams County,8001,1,60,4,Somewhat worse off
16172206,El Paso County,8041,1,90,3,Neither better nor worse off
16196222,Denver County,8031,0,74,1,Definitely better off
16200758,Chaffee County,8015,1,141,5,Definitely worse off
16233949,El Paso County,8041,1,10,null,
16262975,Garfield County,8045,1,44,3,Neither better nor worse off
16269162,Denver County,8031,1,57,2,Somewhat better off
16323287,Boulder County,8013,0,63,5,Definitely worse off
16346426,Las Animas County,8071,1,374,1,Definitely better off
16360906,Larimer County,8069,1,21,null,
16371116,Denver County,8031,0,5,null,
16391119,La Plata County,8067,1,182,2,Somewhat better off
16394781,Pueblo County,8101,1,4,null,
16401955,Larimer County,8069,0,54,5,Definitely worse off
16403022,Adams County,8001,1,152,4,Somewhat worse off
16407237,Adams County,8001,0,68,5,Definitely worse off
16410048,Mesa County,8077,1,99,5,Definitely worse off
16417839,Boulder County,8013,1,51,5,Definitely worse off
16418522,Adams County,8001,0,5,null,
16424429,El Paso County,8041,0,59,5,Definitely worse off
16426989,Boulder County,8013,1,8,null,
16427966,La Plata County,8067,0,81,3,Neither better nor worse off
16430647,Adams County,8001,1,56,5,Definitely worse off
16432136,Pueblo County,8101,1,30,null,
16436476,Conejos County,8021,1,99,5,Definitely worse off
16440703,Adams County,8001,1,41,4,Somewhat worse off
16442498,Adams County,8001,1,55,1,Definitely better off
16442899,Denver County,8031,0,70,5,Definitely worse off
16444067,Alamosa County,8003,0,31,null,
16449614,Douglas County,8035,0,105,1,Definitely better off
16450936,Denver County,8031,0,44,5,Definitely worse off
16461453,Larimer County,8069,0,40,2,Somewhat better off
16462992,Douglas County,8035,1,46,4,Somewhat worse off
16463568,Boulder County,8013,0,16,null,
16464865,Denver County,8031,0,7,null,
16465756,Jefferson County,8059,1,127,4,Somewhat worse off
16482510,Douglas County,8035,0,55,5,Definitely worse off
16493240,El Paso County,8041,0,58,5,Definitely worse off
16496272,Larimer County,8069,0,9,null,
16506534,El Paso County,8041,0,107,4,Somewhat worse off
16651607,El Paso County,8041,1,238,1,Definitely better off
16732575,Weld County,8123,0,98,4,Somewhat worse off
16801521,Denver County,8031,0,80,1,Definitely better off
16813204,El Paso County,8041,0,101,4,Somewhat worse off
16814437,Boulder County,8013,1,12,null,
16840298,Pueblo County,8101,0,145,3,Neither better nor worse off
16854116,Denver County,8031,1,27,null,
16855529,Morgan County,8087,1,1,5,Definitely worse off
16855620,Douglas County,8035,0,112,3,Neither better nor worse off
16858893,Jefferson County,8059,0,80,5,Definitely worse off
16859690,Adams County,8001,1,45,5,Definitely worse off
16860149,El Paso County,8041,1,59,5,Definitely worse off
16865403,Pueblo County,8101,1,74,5,Definitely worse off
16885508,Boulder County,8013,1,8,null,
16887575,Denver County,8031,0,120,3,Neither better nor worse off
16892219,El Paso County,8041,0,24,null,
16898050,Summit County,8117,0,31,null,
16902058,Denver County,8031,1,10,null,
16905542,Weld County,8123,0,9,null,
16906456,El Paso County,8041,1,6,null,
16906735,El Paso County,8041,0,69,1,Definitely better off
16907879,Denver County,8031,1,14,null,
16908054,Denver County,8031,1,7,null,
16912241,El Paso County,8041,1,111,1,Definitely better off
16921643,Denver County,8031,1,46,5,Definitely worse off
16924258,Adams County,8001,1,129,3,Neither better nor worse off
16924417,Jefferson County,8059,1,56,3,Neither better nor worse off
16925488,Denver County,8031,0,81,4,Somewhat worse off
16927079,Weld County,8123,1,74,5,Definitely worse off
16965697,Douglas County,8035,0,30,null,
16988161,Adams County,8001,1,53,5,Definitely worse off
16992460,Denver County,8031,0,41,5,Definitely worse off
16997258,Denver County,8031,0,5,null,
16998610,Mesa County,8077,0,127,2,Somewhat better off
16999048,Pueblo County,8101,1,25,null,
17001805,Adams County,8001,0,101,2,Somewhat better off
17006519,Adams County,8001,1,59,5,Definitely worse off
17013197,El Paso County,8041,1,19,null,
17018987,Weld County,8123,0,38,5,Definitely worse off
17025982,Montrose County,8085,0,121,5,Definitely worse off
17033294,Summit County,8117,0,11,null,
17035219,Douglas County,8035,1,117,3,Neither better nor worse off
17036087,Denver County,8031,0,6,null,
17037541,Denver County,8031,0,9,null,
17041933,Larimer County,8069,0,118,5,Definitely worse off
17042771,Denver County,8031,1,7,null,
17044707,El Paso County,8041,0,3,null,
17045529,El Paso County,8041,1,10,null,
17047884,Weld County,8123,1,49,5,Definitely worse off
17051018,Pueblo County,8101,1,7,null,
17052469,Lake County,8065,0,14,null,
17052932,Douglas County,8035,0,70,3,Neither better nor worse off
17074845,Boulder County,8013,0,8,null,
17106857,Adams County,8001,1,13,null,
17132237,Denver County,8031,1,81,3,Neither better nor worse off
17133688,Adams County,8001,1,60,1,Definitely better off
17134775,Pueblo County,8101,1,75,1,Definitely better off
17135235,El Paso County,8041,0,96,4,Somewhat worse off
17154313,Denver County,8031,1,43,3,Neither better nor worse off
17169867,Garfield County,8045,1,25,null,
17232112,Las Animas County,8071,1,48,5,Definitely worse off
17240227,Boulder County,8013,0,47,5,Definitely worse off
17282082,Weld County,8123,0,262,3,Neither better nor worse off
17290909,Otero County,8089,1,25,null,
17304308,Pueblo County,8101,0,55,1,Definitely better off
17305945,Boulder County,8013,0,25,null,
17349214,Pueblo County,8101,1,88,5,Definitely worse off
17349434,Denver County,8031,1,10,null,
17352497,El Paso County,8041,0,5,null,
17356186,Pueblo County,8101,0,67,4,Somewhat worse off
17358105,Adams County,8001,1,73,2,Somewhat better off
17387881,Baca County,8009,0,149,2,Somewhat better off
17389264,Pitkin County,8097,0,51,5,Definitely worse off
17389424,Summit County,8117,1,43,5,Definitely worse off
17428052,Denver County,8031,1,4,null,
17435529,Boulder County,8013,0,63,4,Somewhat worse off
17458852,Adams County,8001,0,41,5,Definitely worse off
17467808,Adams County,8001,1,104,5,Definitely worse off
17498444,Denver County,8031,1,80,4,Somewhat worse off
17507156,Fremont County,8043,1,12,null,
17517904,El Paso County,8041,1,143,5,Definitely worse off
17524341,El Paso County,8041,0,13,null,
17544331,Broomfield County,8014,1,47,5,Definitely worse off
17544902,Morgan County,8087,0,167,1,Definitely better off
17547011,La Plata County,8067,0,55,4,Somewhat worse off
17559033,Jefferson County,8059,0,7,null,
17559943,Summit County,8117,1,84,5,Definitely worse off
17559947,Summit County,8117,1,63,3,Neither better nor worse off
17562416,Montrose County,8085,0,132,3,Neither better nor worse off
17564878,Pueblo County,8101,0,2,3,Neither better nor worse off
17564940,Adams County,8001,0,11,null,
17565664,Delta County,8029,0,131,4,Somewhat worse off
17571216,Boulder County,8013,0,5,null,
17571341,Denver County,8031,0,178,null,
17575018,Adams County,8001,1,53,1,Definitely better off
17578298,Adams County,8001,1,99,5,Definitely worse off
17578833,Denver County,8031,1,93,null,
17598080,Ouray County,8091,0,20,null,
17608885,Weld County,8123,0,306,5,Definitely worse off
17611617,Denver County,8031,1,85,5,Definitely worse off
17616803,Larimer County,8069,0,99,3,Neither better nor worse off
17620504,Mesa County,8077,0,253,1,Definitely better off
17626826,Denver County,8031,0,54,5,Definitely worse off
17632938,Denver County,8031,0,7,null,
17636819,Denver County,8031,0,53,5,Definitely worse off
17641633,El Paso County,8041,1,76,4,Somewhat worse off
17644168,Adams County,8001,0,14,null,
17660624,Alamosa County,8003,0,86,3,Neither better nor worse off
17660637,Montezuma County,8083,1,71,4,Somewhat worse off
17665135,Mesa County,8077,0,119,1,Definitely better off
17667618,Larimer County,8069,1,63,5,Definitely worse off
17669592,Mesa County,8077,1,42,null,
17672303,Jefferson County,8059,1,43,5,Definitely worse off
17674094,Jefferson County,8059,1,102,1,Definitely better off
17674786,El Paso County,8041,1,135,2,Somewhat better off
17679617,Denver County,8031,0,12,null,
17680296,Weld County,8123,0,10,null,
17687864,Denver County,8031,0,58,4,Somewhat worse off
17706035,Weld County,8123,1,52,5,Definitely worse off
17716515,Denver County,8031,1,100,4,Somewhat worse off
17719450,Denver County,8031,1,73,4,Somewhat worse off
17720321,Denver County,8031,0,63,2,Somewhat better off
17722595,Garfield County,8045,0,331,4,Somewhat worse off
17724678,Jefferson County,8059,1,85,4,Somewhat worse off
17727431,El Paso County,8041,0,348,3,Neither better nor worse off
17745113,El Paso County,8041,1,17,null,
17745935,Adams County,8001,1,116,4,Somewhat worse off
17746870,Weld County,8123,0,53,5,Definitely worse off
17747066,Denver County,8031,0,93,3,Neither better nor worse off
17748487,Denver County,8031,1,124,5,Definitely worse off
17750780,Weld County,8123,0,11,null,
17755757,El Paso County,8041,0,240,2,Somewhat better off
17772807,Adams County,8001,0,16,null,
17772891,Douglas County,8035,0,9,null,
17781877,Adams County,8001,1,130,null,
17784368,Gunnison County,8051,1,88,null,
17828135,Pueblo County,8101,1,106,5,Definitely worse off
17830279,Mesa County,8077,1,11,null,
17839310,Boulder County,8013,0,31,null,
17840652,Boulder County,8013,1,111,5,Definitely worse off
17842923,Denver County,8031,1,67,4,Somewhat worse off
17852223,Pueblo County,8101,0,64,5,Definitely worse off
17865424,Adams County,8001,1,53,4,Somewhat worse off
17866375,Routt County,8107,1,86,3,Neither better nor worse off
17905385,Ouray County,8091,0,65,5,Definitely worse off
17907894,El Paso County,8041,1,87,5,Definitely worse off
17911755,Denver County,8031,0,40,5,Definitely worse off
17939753,Boulder County,8013,1,92,1,Definitely better off
17941360,El Paso County,8041,1,314,2,Somewhat better off
17953201,Denver County,8031,1,47,1,Definitely better off
17959952,Denver County,8031,0,42,5,Definitely worse off
17963617,Pueblo County,8101,0,115,4,Somewhat worse off
17973771,La Plata County,8067,0,72,5,Definitely worse off
17975760,El Paso County,8041,1,454,4,Somewhat worse off
17977216,Routt County,8107,0,94,4,Somewhat worse off
17979587,Denver County,8031,1,78,4,Somewhat worse off
17980103,El Paso County,8041,1,173,4,Somewhat worse off
17986870,El Paso County,8041,0,3,null,
17989929,Denver County,8031,1,13,null,
17992044,Weld County,8123,0,8,null,
17992589,Mesa County,8077,1,67,1,Definitely better off
17997803,Douglas County,8035,0,55,1,Definitely better off
18017862,Prowers County,8099,0,49,2,Somewhat better off
18020895,Douglas County,8035,1,59,5,Definitely worse off
18045981,Las Animas County,8071,0,30,null,
18049826,Garfield County,8045,1,58,null,
18053299,Adams County,8001,1,16,null,
18078143,Denver County,8031,1,34,null,
18080229,Pueblo County,8101,1,216,1,Definitely better off
18094653,El Paso County,8041,0,62,4,Somewhat worse off
18102852,Summit County,8117,1,44,5,Definitely worse off
18113172,Denver County,8031,1,74,5,Definitely worse off
18128508,Montrose County,8085,1,93,5,Definitely worse off
18129812,Boulder County,8013,0,183,5,Definitely worse off
18132206,Kit Carson County,8063,1,19,null,
18138024,Weld County,8123,1,140,4,Somewhat worse off
18138346,Adams County,8001,0,60,null,
18138453,Phillips County,8095,0,184,4,Somewhat worse off
18142326,Boulder County,8013,0,65,5,Definitely worse off
18149701,Douglas County,8035,1,39,5,Definitely worse off
18163275,Douglas County,8035,1,75,4,Somewhat worse off
18173277,Denver County,8031,1,43,5,Definitely worse off
18177088,El Paso County,8041,0,47,5,Definitely worse off
18182668,Gunnison County,8051,0,67,1,Definitely better off
18184635,Denver County,8031,0,214,5,Definitely worse off
18186470,Summit County,8117,0,9,null,
18195300,Adams County,8001,1,112,3,Neither better nor worse off
18196439,Mesa County,8077,0,289,3,Neither better nor worse off
18199792,Denver County,8031,1,67,5,Definitely worse off
18211487,Adams County,8001,1,74,3,Neither better nor worse off
18213658,Jefferson County,8059,1,12,null,
18216996,El Paso County,8041,1,53,5,Definitely worse off
18219017,Kit Carson County,8063,1,277,1,Definitely better off
18219589,El Paso County,8041,0,16,null,
18252513,Pueblo County,8101,1,26,null,
18256847,Denver County,8031,0,91,4,Somewhat worse off
18259175,Jefferson County,8059,1,6,null,
18263691,Denver County,8031,0,42,5,Definitely worse off
18263757,Archuleta County,8007,1,5,null,
18264242,Broomfield County,8014,0,43,5,Definitely worse off
18266692,Boulder County,8013,1,72,3,Neither better nor worse off
18271201,Douglas County,8035,1,9,null,
18271220,Denver County,8031,1,63,2,Somewhat better off
18279855,Weld County,8123,0,50,4,Somewhat worse off
18280151,Jefferson County,8059,0,38,5,Definitely worse off
18283031,Summit County,8117,1,7,null,
18283914,Denver County,8031,0,6,null,
18284239,Denver County,8031,0,4,null,
18285173,Boulder County,8013,0,39,5,Definitely worse off
18288844,Denver County,8031,0,8,null,
18290999,Denver County,8031,1,9,null,
18291173,Broomfield County,8014,0,75,5,Definitely worse off
18293513,Douglas County,8035,1,166,5,Definitely worse off
18315952,Summit County,8117,1,151,1,Definitely better off
18317776,Denver County,8031,1,45,4,Somewhat worse off
18319485,Denver County,8031,0,8,null,
18321530,Weld County,8123,1,15,null,
18321912,Boulder County,8013,1,124,4,Somewhat worse off
18325270,Denver County,8031,0,349,3,Neither better nor worse off
18331889,Adams County,8001,0,64,5,Definitely worse off
18335124,Boulder County,8013,0,105,5,Definitely worse off
18335406,Adams County,8001,0,7,null,
18337641,Adams County,8001,1,216,4,Somewhat worse off
18339723,Denver County,8031,0,54,4,Somewhat worse off
18345854,Denver County,8031,0,11,null,
18349154,Denver County,8031,0,69,5,Definitely worse off
18350152,Jefferson County,8059,0,42,4,Somewhat worse off
18363143,Denver County,8031,1,79,5,Definitely worse off
18369695,Weld County,8123,1,78,4,Somewhat worse off
18373118,Boulder County,8013,1,2,5,Definitely worse off
18373548,Denver County,8031,0,6,null,
18382287,Alamosa County,8003,0,87,5,Definitely worse off
18389132,Denver County,8031,1,583,1,Definitely better off
18390471,Denver County,8031,0,6,null,
18398134,El Paso County,8041,0,69,4,Somewhat worse off
18405710,Denver County,8031,0,5,null,
18408397,Weld County,8123,1,43,1,Definitely better off
18409183,Denver County,8031,0,8,null,
18409439,Delta County,8029,1,50,5,Definitely worse off
18410921,Mesa County,8077,1,9,null,
18413980,Denver County,8031,0,35,5,Definitely worse off
18415260,Denver County,8031,0,14,null,
18416914,Boulder County,8013,1,44,5,Definitely worse off
18418150,Prowers County,8099,1,12,null,
18424167,Boulder County,8013,1,174,1,Definitely better off
18436308,Douglas County,8035,0,53,1,Definitely better off
18436534,Denver County,8031,0,64,5,Definitely worse off
18437149,La Plata County,8067,0,61,4,Somewhat worse off
18437791,Boulder County,8013,0,82,5,Definitely worse off
18440681,Weld County,8123,0,114,4,Somewhat worse off
18447101,El Paso County,8041,0,51,1,Definitely better off
18449892,Mesa County,8077,0,178,5,Definitely worse off
18452033,El Paso County,8041,0,129,5,Definitely worse off
18455583,Boulder County,8013,1,59,5,Definitely worse off
18457624,El Paso County,8041,1,121,4,Somewhat worse off
18458400,Adams County,8001,0,25,null,
18459502,Denver County,8031,0,64,5,Definitely worse off
18478906,Boulder County,8013,0,115,1,Definitely better off
18481185,Boulder County,8013,0,68,5,Definitely worse off
18484635,El Paso County,8041,0,6,null,
18485903,Grand County,8049,1,40,3,Neither better nor worse off
18497895,Boulder County,8013,0,56,5,Definitely worse off
18499229,Boulder County,8013,1,55,4,Somewhat worse off
18500151,Adams County,8001,0,50,5,Definitely worse off
18500397,Denver County,8031,1,208,5,Definitely worse off
18503503,Adams County,8001,0,27,null,
18506729,El Paso County,8041,0,94,4,Somewhat worse off
18508526,Elbert County,8039,1,115,3,Neither better nor worse off
18510273,Adams County,8001,0,66,5,Definitely worse off
18517921,Douglas County,8035,1,59,5,Definitely worse off
18525526,Boulder County,8013,0,7,null,
18526677,El Paso County,8041,0,7,null,
18529238,Adams County,8001,1,73,1,Definitely better off
18530475,El Paso County,8041,0,113,3,Neither better nor worse off
18530951,Boulder County,8013,1,42,5,Definitely worse off
18544745,Jefferson County,8059,0,104,1,Definitely better off
18549329,Teller County,8119,0,123,1,Definitely better off
18552278,El Paso County,8041,0,54,5,Definitely worse off
18552668,Boulder County,8013,0,11,null,
18553215,Mesa County,8077,0,15,null,
18556922,Denver County,8031,0,57,5,Definitely worse off
18559049,Denver County,8031,1,5,null,
18561101,Douglas County,8035,0,63,4,Somewhat worse off
18561359,Boulder County,8013,1,5,null,
18563004,Denver County,8031,1,86,4,Somewhat worse off
18564945,Huerfano County,8055,1,141,4,Somewhat worse off
18566136,Weld County,8123,1,76,3,Neither better nor worse off
18569120,El Paso County,8041,0,107,5,Definitely worse off
18570963,El Paso County,8041,0,131,3,Neither better nor worse off
18572185,Mesa County,8077,0,85,1,Definitely better off
18572701,Weld County,8123,1,116,1,Definitely better off
18573370,El Paso County,8041,0,115,1,Definitely better off
18574832,Jefferson County,8059,0,29,null,
18588530,El Paso County,8041,1,101,5,Definitely worse off
18589965,Alamosa County,8003,0,56,4,Somewhat worse off
18596576,Jefferson County,8059,1,157,5,Definitely worse off
18601544,Boulder County,8013,0,48,3,Neither better nor worse off
18601689,Adams County,8001,0,55,4,Somewhat worse off
18601846,Denver County,8031,0,103,3,Neither better nor worse off
18613613,Weld County,8123,0,53,5,Definitely worse off
18613882,Delta County,8029,0,9,null,
18618534,Boulder County,8013,1,77,4,Somewhat worse off
18622809,Kit Carson County,8063,1,19,null,
18633144,Weld County,8123,1,37,null,
18637402,Mesa County,8077,0,13,null,
18637979,Boulder County,8013,1,54,5,Definitely worse off
18641113,Boulder County,8013,0,5,null,
18642334,Weld County,8123,0,47,5,Definitely worse off
18647711,Denver County,8031,0,35,5,Definitely worse off
18650870,Denver County,8031,0,44,4,Somewhat worse off
18653529,Larimer County,8069,0,163,5,Definitely worse off
18654828,Adams County,8001,0,69,3,Neither better nor worse off
18657117,Boulder County,8013,0,5,null,
18663377,Adams County,8001,1,254,1,Definitely better off
18664545,Alamosa County,8003,0,62,5,Definitely worse off
18665896,Denver County,8031,0,57,3,Neither better nor worse off
18669519,Denver County,8031,1,61,5,Definitely worse off
18670331,Grand County,8049,0,54,3,Neither better nor worse off
18674401,Denver County,8031,0,97,3,Neither better nor worse off
18677445,Denver County,8031,1,136,1,Definitely better off
18687108,Summit County,8117,0,81,5,Definitely worse off
18697658,Denver County,8031,1,149,4,Somewhat worse off
18711213,Weld County,8123,1,109,5,Definitely worse off
18713340,Denver County,8031,0,7,null,
18714496,Denver County,8031,0,6,null,
18715218,Boulder County,8013,0,4,null,
18720809,Denver County,8031,1,74,2,Somewhat better off
18721966,Adams County,8001,0,123,4,Somewhat worse off
18723993,Broomfield County,8014,0,69,4,Somewhat worse off
18724043,Pitkin County,8097,0,83,5,Definitely worse off
18731339,El Paso County,8041,0,54,4,Somewhat worse off
18734382,Douglas County,8035,0,56,3,Neither better nor worse off
18736052,Summit County,8117,1,163,2,Somewhat better off
18741448,Denver County,8031,1,69,5,Definitely worse off
18745228,Denver County,8031,0,84,5,Definitely worse off
18748240,Denver County,8031,0,29,null,
18754749,Denver County,8031,0,105,5,Definitely worse off
18768208,El Paso County,8041,1,91,4,Somewhat worse off
18781787,Denver County,8031,1,45,5,Definitely worse off
18783979,Eagle County,8037,0,40,4,Somewhat worse off
18786048,Mesa County,8077,0,45,3,Neither better nor worse off
18786291,Denver County,8031,0,52,4,Somewhat worse off
18789160,Otero County,8089,0,42,null,
18796998,Boulder County,8013,1,29,null,
18797332,Adams County,8001,0,72,null,
18797412,Denver County,8031,0,23,null,
18799227,Montrose County,8085,0,56,5,Definitely worse off
18799710,Larimer County,8069,1,40,5,Definitely worse off
18800147,Jefferson County,8059,1,120,1,Definitely better off
18811777,Denver County,8031,1,38,null,
18814266,Broomfield County,8014,1,66,null,
18817239,Boulder County,8013,1,62,3,Neither better nor worse off
18818993,Boulder County,8013,0,36,null,
18828277,Denver County,8031,1,102,5,Definitely worse off
18829273,Delta County,8029,1,34,null,
18846730,El Paso County,8041,0,89,null,
18846805,Larimer County,8069,0,27,null,
18848250,El Paso County,8041,0,11,null,
18848979,Douglas County,8035,1,80,null,
18850034,Boulder County,8013,1,67,4,Somewhat worse off
18854574,Denver County,8031,1,66,4,Somewhat worse off
18854764,Denver County,8031,1,33,5,Definitely worse off
18858724,Prowers County,8099,1,19,null,
18862322,El Paso County,8041,1,74,1,Definitely better off
18864553,Adams County,8001,1,49,3,Neither better nor worse off
18870331,Adams County,8001,1,66,4,Somewhat worse off
18872987,Weld County,8123,1,106,2,Somewhat better off
18882695,Denver County,8031,1,41,5,Definitely worse off
18884410,Boulder County,8013,0,175,3,Neither better nor worse off
18885900,Las Animas County,8071,0,93,1,Definitely better off
18888190,Summit County,8117,1,70,3,Neither better nor worse off
18890914,Adams County,8001,1,60,3,Neither better nor worse off
18893032,Weld County,8123,1,81,1,Definitely better off
18894205,El Paso County,8041,1,85,3,Neither better nor worse off
18895337,El Paso County,8041,1,39,5,Definitely worse off
18896366,Boulder County,8013,0,52,5,Definitely worse off
18897447,Eagle County,8037,0,78,1,Definitely better off
18897952,Weld County,8123,1,36,null,
18898546,Boulder County,8013,0,94,null,
18920502,Garfield County,8045,1,86,1,Definitely better off
18923158,El Paso County,8041,1,61,5,Definitely worse off
18929151,Larimer County,8069,0,28,null,
18931701,Weld County,8123,0,28,null,
18940304,Weld County,8123,1,10,null,
18940331,Boulder County,8013,1,65,5,Definitely worse off
18940641,Weld County,8123,0,69,4,Somewhat worse off
18946438,Denver County,8031,0,13,null,
18948364,Teller County,8119,0,123,4,Somewhat worse off
18952234,Adams County,8001,0,134,5,Definitely worse off
18956908,Weld County,8123,0,10,null,
18958960,Boulder County,8013,1,20,null,
18959772,Denver County,8031,1,77,3,Neither better nor worse off
18962955,Boulder County,8013,1,15,null,
18967101,Pueblo County,8101,1,115,null,
18970849,Mesa County,8077,0,200,1,Definitely better off
18971452,Boulder County,8013,1,56,5,Definitely worse off
18972886,Denver County,8031,0,42,5,Definitely worse off
18978278,Pueblo County,8101,1,73,2,Somewhat better off
18992313,El Paso County,8041,1,73,4,Somewhat worse off
18994155,Larimer County,8069,1,108,null,
18995680,Boulder County,8013,0,85,null,
18999007,Pueblo County,8101,1,81,3,Neither better nor worse off
18999314,Denver County,8031,0,66,5,Definitely worse off
19007314,Weld County,8123,1,80,2,Somewhat better off
19011253,Jefferson County,8059,0,49,null,
19013847,Summit County,8117,0,38,5,Definitely worse off
19016142,Pueblo County,8101,1,53,5,Definitely worse off
19016386,Denver County,8031,0,70,5,Definitely worse off
19038471,Larimer County,8069,0,46,null,
19044134,Adams County,8001,0,29,null,
19049286,Douglas County,8035,0,102,4,Somewhat worse off
19062782,Jefferson County,8059,0,60,5,Definitely worse off
19070650,Eagle County,8037,0,46,null,
19083781,Adams County,8001,0,10,null,
19084386,El Paso County,8041,1,42,5,Definitely worse off
19089147,Jefferson County,8059,1,14,null,
19094368,El Paso County,8041,1,63,5,Definitely worse off
19095213,Adams County,8001,1,92,1,Definitely better off
19099535,El Paso County,8041,1,69,null,
19102427,Pueblo County,8101,1,14,null,
19108489,Alamosa County,8003,1,70,4,Somewhat worse off
19109660,Chaffee County,8015,1,67,null,
19110057,Denver County,8031,0,79,null,
19111144,Larimer County,8069,1,14,null,
19111824,Adams County,8001,0,78,4,Somewhat worse off
19113214,Broomfield County,8014,1,48,null,
19225853,Weld County,8123,1,14,null,
19511265,El Paso County,8041,0,24,null,
19592506,Boulder County,8013,0,56,null,
19597298,Garfield County,8045,0,36,null,
19623611,El Paso County,8041,1,39,null,
19660763,El Paso County,8041,1,270,5,Definitely worse off
19664408,San Miguel County,8113,1,60,5,Definitely worse off
19726865,Weld County,8123,1,56,null,
19726993,Mesa County,8077,0,42,null,
19745185,Routt County,8107,1,46,5,Definitely worse off
19794557,El Paso County,8041,1,28,null,
19796837,Boulder County,8013,1,85,5,Definitely worse off
19799497,El Paso County,8041,0,49,4,Somewhat worse off
19830080,El Paso County,8041,1,11,null,
19982911,Eagle County,8037,0,17,null,
20023844,Weld County,8123,1,76,5,Definitely worse off
1346539,Arapahoe County,8005,0,123,1,Definitely better off
12846836,Bent County,8011,1,51,1,Definitely better off
19463876,Costilla County,8023,1,178,2,Somewhat better off
18763627,Crowley County,8025,0,129,1,Definitely better off
12964754,Custer County,8027,0,59,3,Neither better nor worse off
14568764,Dolores County,8033,0,121,2,Somewhat better off
18563473,Hinsdale County,8053,1,25,3,Neither better nor worse off
12957383,Jackson County,8057,1,64,3,Neither better nor worse off
16784562,Kiowa County,8061,0,115,3,Neither better nor worse off
1756784,Lincoln County,8073,1,71,2,Somewhat better off
1548346,Mineral County,8079,0,68,1,Definitely better off
1457298,Prowers County,8099,0,6,5,Definitely worse off
1346243,Rio Blanco County,8103,1,40,1,Definitely better off
